term,count
significantly,399
respectively,224
postoperative,143
statistically,134
retrospective,127
participants,126
complications,120
relationship,107
questionnaire,90
multivariate,84
characteristics,80
preoperative,79
intervention,73
measurements,65
demonstrated,64
investigated,63
cross-sectional,61
cardiovascular,58
retrospectively,55
concentrations,50
laparoscopic,50
prospectively,47
distribution,45
hypertension,45
satisfaction,44
associations,42
chemotherapy,41
classification,40
radiotherapy,39
observational,37
complication,36
presentation,35
conventional,33
administration,32
significance,32
standardized,32
longitudinal,31
correlations,31
intraoperative,30
independently,30
postoperatively,30
socioeconomic,29
effectiveness,26
examinations,25
characteristic,25
transplantation,24
multivariable,24
transmission,24
approximately,23
self-reported,23
concentration,23
participated,23
interventions,23
experimental,23
perioperative,23
gastrointestinal,22
implementation,22
hospitalization,22
ultrasonography,22
questionnaires,22
contralateral,22
communication,22
schizophrenia,21
administered,21
fibrillation,21
participation,21
pancreatitis,21
psychological,20
documentation,20
histological,20
relationships,20
inflammation,20
inflammatory,19
hypertensive,19
circumference,18
particularly,18
identification,18
disease-free,18
demographics,18
environmental,18
prescription,17
characterized,17
professionals,17
echocardiography,17
cholecystectomy,17
international,17
occupational,17
coefficients,16
anticoagulation,16
hypothesized,16
pathological,16
radiographic,16
population-based,16
practitioner,16
abnormalities,16
corresponding,16
prophylactic,16
appendicitis,16
subsequently,15
recommendations,15
