tokenizer,token,token_id
biomedical_bpe_30k,[PAD],0
biomedical_bpe_30k,[UNK],1
biomedical_bpe_30k,[CLS],2
biomedical_bpe_30k,[SEP],3
biomedical_bpe_30k,[MASK],4
biomedical_bpe_30k,!,5
biomedical_bpe_30k,"""",6
biomedical_bpe_30k,#,7
biomedical_bpe_30k,$,8
biomedical_bpe_30k,%,9
biomedical_bpe_30k,&,10
biomedical_bpe_30k,',11
biomedical_bpe_30k,(,12
biomedical_bpe_30k,),13
biomedical_bpe_30k,*,14
biomedical_bpe_30k,+,15
biomedical_bpe_30k,",",16
biomedical_bpe_30k,-,17
biomedical_bpe_30k,.,18
biomedical_bpe_30k,/,19
biomedical_bpe_30k,0,20
biomedical_bpe_30k,1,21
biomedical_bpe_30k,2,22
biomedical_bpe_30k,3,23
biomedical_bpe_30k,4,24
biomedical_bpe_30k,5,25
biomedical_bpe_30k,6,26
biomedical_bpe_30k,7,27
biomedical_bpe_30k,8,28
biomedical_bpe_30k,9,29
biomedical_bpe_30k,:,30
biomedical_bpe_30k,;,31
biomedical_bpe_30k,<,32
biomedical_bpe_30k,=,33
biomedical_bpe_30k,>,34
biomedical_bpe_30k,?,35
biomedical_bpe_30k,@,36
biomedical_bpe_30k,[,37
biomedical_bpe_30k,\,38
biomedical_bpe_30k,],39
biomedical_bpe_30k,^,40
biomedical_bpe_30k,_,41
biomedical_bpe_30k,`,42
biomedical_bpe_30k,a,43
biomedical_bpe_30k,b,44
biomedical_bpe_30k,c,45
biomedical_bpe_30k,d,46
biomedical_bpe_30k,e,47
biomedical_bpe_30k,f,48
biomedical_bpe_30k,g,49
biomedical_bpe_50k,[PAD],0
biomedical_bpe_50k,[UNK],1
biomedical_bpe_50k,[CLS],2
biomedical_bpe_50k,[SEP],3
biomedical_bpe_50k,[MASK],4
biomedical_bpe_50k,!,5
biomedical_bpe_50k,"""",6
biomedical_bpe_50k,#,7
biomedical_bpe_50k,$,8
biomedical_bpe_50k,%,9
biomedical_bpe_50k,&,10
biomedical_bpe_50k,',11
biomedical_bpe_50k,(,12
biomedical_bpe_50k,),13
biomedical_bpe_50k,*,14
biomedical_bpe_50k,+,15
biomedical_bpe_50k,",",16
biomedical_bpe_50k,-,17
biomedical_bpe_50k,.,18
biomedical_bpe_50k,/,19
biomedical_bpe_50k,0,20
biomedical_bpe_50k,1,21
biomedical_bpe_50k,2,22
biomedical_bpe_50k,3,23
biomedical_bpe_50k,4,24
biomedical_bpe_50k,5,25
biomedical_bpe_50k,6,26
biomedical_bpe_50k,7,27
biomedical_bpe_50k,8,28
biomedical_bpe_50k,9,29
biomedical_bpe_50k,:,30
biomedical_bpe_50k,;,31
biomedical_bpe_50k,<,32
biomedical_bpe_50k,=,33
biomedical_bpe_50k,>,34
biomedical_bpe_50k,?,35
biomedical_bpe_50k,@,36
biomedical_bpe_50k,[,37
biomedical_bpe_50k,\,38
biomedical_bpe_50k,],39
biomedical_bpe_50k,^,40
biomedical_bpe_50k,_,41
biomedical_bpe_50k,`,42
biomedical_bpe_50k,a,43
biomedical_bpe_50k,b,44
biomedical_bpe_50k,c,45
biomedical_bpe_50k,d,46
biomedical_bpe_50k,e,47
biomedical_bpe_50k,f,48
biomedical_bpe_50k,g,49
biomedical_bpe_100k,[PAD],0
biomedical_bpe_100k,[UNK],1
biomedical_bpe_100k,[CLS],2
biomedical_bpe_100k,[SEP],3
biomedical_bpe_100k,[MASK],4
biomedical_bpe_100k,!,5
biomedical_bpe_100k,"""",6
biomedical_bpe_100k,#,7
biomedical_bpe_100k,$,8
biomedical_bpe_100k,%,9
biomedical_bpe_100k,&,10
biomedical_bpe_100k,',11
biomedical_bpe_100k,(,12
biomedical_bpe_100k,),13
biomedical_bpe_100k,*,14
biomedical_bpe_100k,+,15
biomedical_bpe_100k,",",16
biomedical_bpe_100k,-,17
biomedical_bpe_100k,.,18
biomedical_bpe_100k,/,19
biomedical_bpe_100k,0,20
biomedical_bpe_100k,1,21
biomedical_bpe_100k,2,22
biomedical_bpe_100k,3,23
biomedical_bpe_100k,4,24
biomedical_bpe_100k,5,25
biomedical_bpe_100k,6,26
biomedical_bpe_100k,7,27
biomedical_bpe_100k,8,28
biomedical_bpe_100k,9,29
biomedical_bpe_100k,:,30
biomedical_bpe_100k,;,31
biomedical_bpe_100k,<,32
biomedical_bpe_100k,=,33
biomedical_bpe_100k,>,34
biomedical_bpe_100k,?,35
biomedical_bpe_100k,@,36
biomedical_bpe_100k,[,37
biomedical_bpe_100k,\,38
biomedical_bpe_100k,],39
biomedical_bpe_100k,^,40
biomedical_bpe_100k,_,41
biomedical_bpe_100k,`,42
biomedical_bpe_100k,a,43
biomedical_bpe_100k,b,44
biomedical_bpe_100k,c,45
biomedical_bpe_100k,d,46
biomedical_bpe_100k,e,47
biomedical_bpe_100k,f,48
biomedical_bpe_100k,g,49
